tenant_id,activity_id,name,emotion,description,cant_person,duracion,min_person,tipo,calificacion
UTEC,A0001,Respira y Relájate: Taller de manejo del estrés y técnicas de relajación,tristeza|estres|ansiedad,Descripción detallada de Respira y Relájate: Taller de manejo del estrés y técnicas de relajación,17,60,8,Taller,0
UTEC,A0002,Mindfulness para Estudiantes: Sesiones de meditación y atención plena,tristeza|estres|ansiedad,Descripción detallada de Mindfulness para Estudiantes: Sesiones de meditación y atención plena,20,30,10,Taller,0
UTEC,A0003,Apoyo en Comunidad: Grupos de apoyo emocional y terapia grupal,tristeza|frustración,Descripción detallada de Apoyo en Comunidad: Grupos de apoyo emocional y terapia grupal,10,30,5,Grupo de apoyo,0
UTEC,A0004,Yoga para el Equilibrio Emocional: Clases de yoga y respiración consciente,tristeza|ansiedad|estres,Descripción detallada de Yoga para el Equilibrio Emocional: Clases de yoga y respiración consciente,15,60,10,Taller,0
UTEC,A0005,Inspiración Literaria: Lectura y visualización para elevar el ánimo,tristeza|aburrimiento,Descripción detallada de Inspiración Literaria: Lectura y visualización para elevar el ánimo,30,80,20,Grupo de apoyo,0
UTEC,A0006,Conexión Natural: Actividades al aire libre para conectar con la naturaleza,tristeza|estres|ansiedad,Descripción detallada de Conexión Natural: Actividades al aire libre para conectar con la naturaleza,16,40,8,Taller,0
UTEC,A0007,Calma Interior: Talleres de manejo del estrés y técnicas de relajación,estres|ansiedad|frustración,Descripción detallada de Calma Interior: Talleres de manejo del estrés y técnicas de relajación,8,70,4,Taller,0
UTEC,A0008,Apoyo y Conversación: Grupos de apoyo emocional y terapia grupal,estres|tristeza|ansiedad,Descripción detallada de Apoyo y Conversación: Grupos de apoyo emocional y terapia grupal,12,40,6,Taller,0
UTEC,A0009,Cuerpo en Armonía: Ejercicios de relajación como yoga y tai chi,estres|ansiedad,Descripción detallada de Cuerpo en Armonía: Ejercicios de relajación como yoga y tai chi,14,100,7,Taller,0
UTEC,A0010,Say No and Relax: Establecimiento de límites y aprendizaje a decir no,estres|ansiedad,Descripción detallada de Say No and Relax: Establecimiento de límites y aprendizaje a decir no,8,40,4,Taller,0
UTEC,A0011,Retiro de Relajación: Actividades relajantes como tomar un baño o leer,estres|ansiedad,Descripción detallada de Retiro de Relajación: Actividades relajantes como tomar un baño o leer,10,70,5,Taller,0
UTEC,A0012,Meditación Guiada: Visualización y meditación para calmar la mente,estres|ansiedad,Descripción detallada de Meditación Guiada: Visualización y meditación para calmar la mente,7,80,3,Taller,0
UTEC,A0013,Eliminadores de Ansiedad: Talleres para manejar la ansiedad y técnicas de relajación,ansiedad|estres,Descripción detallada de Eliminadores de Ansiedad: Talleres para manejar la ansiedad y técnicas de relajación,9,60,4,Taller,0
UTEC,A0014,Momentos Conscientes: Meditación y atención plena para reducir la ansiedad,ansiedad|estres,Descripción detallada de Momentos Conscientes: Meditación y atención plena para reducir la ansiedad,12,30,6,Taller,0
UTEC,A0015,Círculo de Confianza: Apoyo emocional y terapia personalizada,ansiedad|estres,Descripción detallada de Círculo de Confianza: Apoyo emocional y terapia personalizada,11,90,5,Taller,0
UTEC,A0016,Yoga para la Ansiedad: Clases de yoga y ejercicios de respiración,ansiedad|estres,Descripción detallada de Yoga para la Ansiedad: Clases de yoga y ejercicios de respiración,13,70,6,Taller,0
UTEC,A0017,Charlas de Corazón a Corazón: Conversación con amigos y profesionales para superar la ansiedad,ansiedad|estres,Descripción detallada de Charlas de Corazón a Corazón: Conversación con amigos y profesionales para superar la ansiedad,13,80,6,Taller,0
UTEC,A0018,Vivir Consciente: Práctica de la atención plena o mindfulness,ansiedad|estres,Descripción detallada de Vivir Consciente: Práctica de la atención plena o mindfulness,17,60,8,Taller,0
UTEC,A0019,Deporte Terapéutico: Ejercicio y deportes para liberar tensión,frustracion|enojo|aburrimiento,Descripción detallada de Deporte Terapéutico: Ejercicio y deportes para liberar tensión,15,40,7,Grupo de apoyo,0
UTEC,A0020,Descanso con Respiración Profunda: Respiración profunda y contar hasta diez antes de reaccionar,frustracion|enojo|ansiedad,Descripción detallada de Descanso con Respiración Profunda: Respiración profunda y contar hasta diez antes de reaccionar,6,70,3,Grupo de apoyo,0
UTEC,A0021,Serenidad Sonora: Escucha de música tranquila o relajante,frustracion|enojo|ansiedad,Descripción detallada de Serenidad Sonora: Escucha de música tranquila o relajante,11,100,5,Grupo de apoyo,0
UTEC,A0022,Relajación Muscular: Técnicas de relajación muscular,frustracion|enojo|ansiedad,Descripción detallada de Relajación Muscular: Técnicas de relajación muscular,12,30,6,Grupo de apoyo,0
UTEC,A0023,Viajes por el Diario: Escritura en un diario para expresar sentimientos,frustracion|enojo,Descripción detallada de Viajes por el Diario: Escritura en un diario para expresar sentimientos,12,40,6,Grupo de apoyo,0
UTEC,A0024,Odisea Cultural: Participación en eventos culturales y clubes estudiantiles,aburrimiento|estres,Descripción detallada de Odisea Cultural: Participación en eventos culturales y clubes estudiantiles,19,80,9,Taller,0
UTEC,A0025,Exploración de Pasatiempos: Exploración de nuevos pasatiempos y actividades extracurriculares,aburrimiento|estres,Descripción detallada de Exploración de Pasatiempos: Exploración de nuevos pasatiempos y actividades extracurriculares,13,40,6,Taller,0
UTEC,A0026,UTEC Talks: Asistencia a conferencias y charlas sobre temas de interés,aburrimiento|motivacion|felicidad|satisfaccion,Descripción detallada de UTEC Talks: Asistencia a conferencias y charlas sobre temas de interés,6,70,3,Grupo de apoyo,0
UTEC,A0027,Aventuras Creativas: Participación en proyectos de investigación o creativos,aburrimiento|motivacion|felicidad|satisfaccion,Descripción detallada de Aventuras Creativas: Participación en proyectos de investigación o creativos,10,110,5,Grupo de apoyo,0
UTEC,A0028,Impacto en la Comunidad: Colaboración en proyectos comunitarios o voluntariado,aburrimiento|felicidad|satisfaccion,Descripción detallada de Impacto en la Comunidad: Colaboración en proyectos comunitarios o voluntariado,14,100,7,Grupo de apoyo,0
UTEC,A0029,Arena de Debate: Participación en clubes de debate o discusión,aburrimiento|motivacion,Descripción detallada de Arena de Debate: Participación en clubes de debate o discusión,18,90,9,Grupo de apoyo,0
UTEC,A0030,Centro de Bienestar: Participación en eventos de bienestar y asesoramiento académico,preocupacion|estres|ansiedad,Descripción detallada de Centro de Bienestar: Participación en eventos de bienestar y asesoramiento académico,13,30,6,Taller,0
UTEC,A0031,Exploración de Carreras: Asistencia a charlas sobre planificación del futuro y opciones de carrera,preocupacion|motivacion|alivio,Descripción detallada de Exploración de Carreras: Asistencia a charlas sobre planificación del futuro y opciones de carrera,14,80,7,Grupo de apoyo,0
UTEC,A0032,Compañeros de Estudio: Participación en grupos de estudio y tutorías académicas,preocupacion|estres,Descripción detallada de Compañeros de Estudio: Participación en grupos de estudio y tutorías académicas,9,70,4,Taller,0
UTEC,A0033,Discusión de Temas Relevantes: Participación en grupos de discusión sobre temas relevantes,preocupacion|motivacion|satisfaccion,Descripción detallada de Discusión de Temas Relevantes: Participación en grupos de discusión sobre temas relevantes,8,40,4,Grupo de apoyo,0
UTEC,A0034,Visión de Liderazgo: Asistencia a eventos de desarrollo personal y liderazgo estudiantil,preocupacion|motivacion|satisfaccion,Descripción detallada de Visión de Liderazgo: Asistencia a eventos de desarrollo personal y liderazgo estudiantil,5,60,2,Grupo de apoyo,0
UTEC,A0035,Aventura de Orientación: Participación en actividades de orientación académica,preocupacion|estres,Descripción detallada de Aventura de Orientación: Participación en actividades de orientación académica,8,80,4,Taller,0
UTEC,A0036,Empoderamiento de Habilidades: Talleres de desarrollo de habilidades blandas,motivacion|felicidad,Descripción detallada de Empoderamiento de Habilidades: Talleres de desarrollo de habilidades blandas,10,100,5,Grupo de apoyo,0
UTEC,A0037,Estación de Inspiración: Conferencias y charlas motivacionales,motivacion|tristeza|frustracion|felicidad,Descripción detallada de Estación de Inspiración: Conferencias y charlas motivacionales,19,50,9,Grupo de apoyo,0
UTEC,A0038,Magia de Mentoría: Programas de mentoría entre estudiantes,motivacion|ansiedad|alivio,Descripción detallada de Magia de Mentoría: Programas de mentoría entre estudiantes,20,50,10,Grupo de apoyo,0
UTEC,A0039,Noche Cultural: Celebración de Tradiciones y Arte,aburrimiento|ansiedad|estres|enojo|felicidad,Descripción detallada de Noche Cultural: Celebración de Tradiciones y Arte,20,80,10,Taller,0
UTEC,A0040,Estableciendo Metas: Establecimiento de metas y objetivos claros,motivacion|preocupacion|alivio|felicidad|frustacion|ansiedad,Descripción detallada de Estableciendo Metas: Establecimiento de metas y objetivos claros,5,50,2,Grupo de apoyo,0
UTEC,A0041,Actividades que Apasionan: Participación en actividades que apasionen e inspiren,motivacion|felicidad|aburrimiento,Descripción detallada de Actividades que Apasionan: Participación en actividades que apasionen e inspiren,7,110,3,Grupo de apoyo,0
UTEC,A0042,Descubriendo Habilidades: Aprendizaje de nuevas habilidades o toma de cursos de interés,motivacion|felicidad|aburrimiento,Descripción detallada de Descubriendo Habilidades: Aprendizaje de nuevas habilidades o toma de cursos de interés,8,40,4,Grupo de apoyo,0
UTEC,A0043,Conexiones Sociales: Participación en eventos sociales y actividades para conocer a otros estudiantes,felicidad|aburrimiento|motivacion,Descripción detallada de Conexiones Sociales: Participación en eventos sociales y actividades para conocer a otros estudiantes,13,110,6,Grupo de apoyo,0
UTEC,A0044,"Noches de Juegos: Noches de juegos, fiestas temáticas y eventos culturales",felicidad|enojo|frustracion|tristeza|aburrimiento|estres,"Descripción detallada de Noches de Juegos: Noches de juegos, fiestas temáticas y eventos culturales",6,70,3,Taller,0
UTEC,A0045,Melodías en Desarrollo: Talleres de desarrollo de habilidades musicales,felicidad|motivacion|aburrimiento,Descripción detallada de Melodías en Desarrollo: Talleres de desarrollo de habilidades musicales,8,80,4,Grupo de apoyo,0
UTEC,A0046,Cine Universitario: Noches de Películas en el Auditorio,felicidad|aburrimiento,Descripción detallada de Cine Universitario: Noches de Películas en el Auditorio,18,90,9,Grupo de apoyo,0
UTEC,A0047,Expresión Artística: Exposiciones de arte y galerías,felicidad|motivacion|aburrimiento,Descripción detallada de Expresión Artística: Exposiciones de arte y galerías,8,70,4,Grupo de apoyo,0
UTEC,A0048,Foco en el Escenario: Representaciones teatrales y funciones de danza,felicidad|motivacion,Descripción detallada de Foco en el Escenario: Representaciones teatrales y funciones de danza,8,60,4,Grupo de apoyo,0
UTEC,A0049,Alegría Deportiva: Participación en equipos y ligas deportivas,felicidad|motivacion|aburrimiento|alivio|tristeza,Descripción detallada de Alegría Deportiva: Participación en equipos y ligas deportivas,19,90,9,Grupo de apoyo,0
UTEC,A0050,Fusión Fitness: Participación en clases de fitness o deportes grupales,felicidad|motivacion|aburrimiento,Descripción detallada de Fusión Fitness: Participación en clases de fitness o deportes grupales,12,90,6,Grupo de apoyo,0
UTEC,A0051,Encuentro Internacional: Conoce a Estudiantes de Intercambio,aburrimiento|motivacion|felicidad,Descripción detallada de Encuentro Internacional: Conoce a Estudiantes de Intercambio,5,30,2,Grupo de apoyo,0
UTEC,A0052,Excursión en el campo: Participación en excursiones o viajes de campo,felicidad|aburrimiento|motivacion,Descripción detallada de Excursión en el campo: Participación en excursiones o viajes de campo,6,80,3,Grupo de apoyo,0
UTEC,A0053,Vibras de Karaoke: Noches de Karaoke con Amigos,felicidad|aburrimiento|motivacion,Descripción detallada de Vibras de Karaoke: Noches de Karaoke con Amigos,14,60,7,Grupo de apoyo,0
UTEC,A0054,Celebración de Ceremonias: Participación en ceremonias de reconocimiento estudiantil,satisfaccion|motivacion|felicidad,Descripción detallada de Celebración de Ceremonias: Participación en ceremonias de reconocimiento estudiantil,14,60,7,Grupo de apoyo,0
UTEC,A0055,Búsqueda de Servicio Comunitario: Involucramiento en proyectos de servicio comunitario impactantes,satisfaccion|felicidad|motivacion|aburrimiento,Descripción detallada de Búsqueda de Servicio Comunitario: Involucramiento en proyectos de servicio comunitario impactantes,20,70,10,Grupo de apoyo,0
UTEC,A0056,Éxito Showtime: Organización de eventos para compartir logros y éxitos personales,satisfaccion|felicidad|motivacion,Descripción detallada de Éxito Showtime: Organización de eventos para compartir logros y éxitos personales,5,30,2,Grupo de apoyo,0
UTEC,A0057,Exhibición de Proyectos: Participación en exposiciones de proyectos y trabajos personales,satisfaccion|felicidad|motivacion,Descripción detallada de Exhibición de Proyectos: Participación en exposiciones de proyectos y trabajos personales,20,70,10,Grupo de apoyo,0
UTEC,A0058,Unidad de Voluntariado Comunitario: Unión a programas de voluntariado en la comunidad,satisfaccion|motivacion|felicidad,Descripción detallada de Unidad de Voluntariado Comunitario: Unión a programas de voluntariado en la comunidad,15,100,7,Grupo de apoyo,0
UTEC,A0059,Crecimiento Personal y Profesional: Asistencia a eventos de desarrollo personal y profesional,satisfaccion|motivacion|felicidad,Descripción detallada de Crecimiento Personal y Profesional: Asistencia a eventos de desarrollo personal y profesional,9,50,4,Grupo de apoyo,0
UTEC,A0060,Yoga Sessions: Participación en sesiones de yoga restaurativo y relajación,alivio|estres|ansiedad,Descripción detallada de Yoga Sessions: Participación en sesiones de yoga restaurativo y relajación,12,100,6,Taller,0
UTEC,A0061,Picnic en el Campus: Disfrute de picnics relajantes en el campus,alivio|estres|ansiedad|enojo,Descripción detallada de Picnic en el Campus: Disfrute de picnics relajantes en el campus,8,30,4,Taller,0
UTEC,A0062,Talleres de Alivio del Estrés: Asistencia a talleres de respiración y alivio del estrés,alivio|enojo|estres|ansiedad,Descripción detallada de Talleres de Alivio del Estrés: Asistencia a talleres de respiración y alivio del estrés,19,40,9,Taller,0
UTEC,A0063,Deporte en Acción: Juegos en el Estadio Chipoco,aburrimiento|ansiedad|estres|enojo,Descripción detallada de Deporte en Acción: Juegos en el Estadio Chipoco,16,70,8,Taller,0
UTEC,A0064,Estrategias Maestras: Torneos de Ajedrez Universitario,aburrimiento|ansiedad|estres|enojo,Descripción detallada de Estrategias Maestras: Torneos de Ajedrez Universitario,7,80,3,Taller,0
UTEC,A0065,Juegos de Mesa y Café: Tarde de Estrategia y Diversión,aburrimiento|ansiedad|estres|enojo,Descripción detallada de Juegos de Mesa y Café: Tarde de Estrategia y Diversión,25,50,18,Taller,0
UTEC,A0066,Feria Gastronómica: Descubre Sabores de Todo el Mundo,aburrimiento|ansiedad|estres|enojo|felicidad,Descripción detallada de Feria Gastronómica: Descubre Sabores de Todo el Mundo,20,80,15,Taller,0